mode,task,position_mode,num_layers,conv_kernel_size,learnable_decay,checkpoint,evaluation,T,n,token_correct,string_correct,token_acc,string_acc,digit_errors
copying,copying,none,2,4,True,best,standard,1024,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,1536,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,2048,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,3072,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,4096,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,6144,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,8192,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,12288,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,16384,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,24576,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,32768,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,49152,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,65536,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,98304,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,best,standard,131072,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,1,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,2,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,3,256,2332,35,0.9109375,0.13671875,"[0, 0, 0, 0, 0, 0, 0, 7, 221, 0]"
copying,copying,none,2,4,True,final,standard,4,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,5,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,6,256,2514,210,0.98203125,0.8203125,"[0, 0, 0, 0, 0, 0, 0, 0, 46, 0]"
copying,copying,none,2,4,True,final,standard,7,256,2328,24,0.909375,0.09375,"[0, 0, 0, 0, 0, 0, 0, 0, 232, 0]"
copying,copying,none,2,4,True,final,standard,8,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,9,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,10,256,2384,80,0.93125,0.3125,"[0, 0, 0, 0, 0, 0, 0, 0, 176, 0]"
copying,copying,none,2,4,True,final,standard,11,256,2332,28,0.9109375,0.109375,"[0, 0, 0, 0, 0, 0, 0, 0, 228, 0]"
copying,copying,none,2,4,True,final,standard,12,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,13,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,14,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
copying,copying,none,2,4,True,final,standard,16,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,24,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,32,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,48,256,2488,185,0.971875,0.72265625,"[0, 0, 0, 0, 0, 0, 0, 1, 71, 0]"
copying,copying,none,2,4,True,final,standard,64,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,96,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,128,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,192,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,256,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,384,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,512,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,768,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,1024,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
copying,copying,none,2,4,True,final,standard,1536,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,2048,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
copying,copying,none,2,4,True,final,standard,3072,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,True,final,standard,4096,256,2442,139,0.95390625,0.54296875,"[0, 0, 0, 0, 0, 0, 0, 1, 117, 0]"
copying,copying,none,2,4,True,final,standard,6144,256,2486,182,0.97109375,0.7109375,"[0, 0, 0, 0, 0, 0, 0, 0, 74, 0]"
copying,copying,none,2,4,True,final,standard,8192,256,2454,150,0.95859375,0.5859375,"[0, 0, 0, 0, 0, 0, 0, 0, 106, 0]"
copying,copying,none,2,4,True,final,standard,12288,256,2463,159,0.962109375,0.62109375,"[0, 0, 0, 0, 0, 0, 0, 0, 97, 0]"
copying,copying,none,2,4,True,final,standard,16384,256,2401,97,0.937890625,0.37890625,"[0, 0, 0, 0, 0, 0, 0, 0, 159, 0]"
copying,copying,none,2,4,True,final,standard,24576,256,2388,85,0.9328125,0.33203125,"[0, 0, 0, 0, 0, 0, 0, 1, 171, 0]"
copying,copying,none,2,4,True,final,standard,32768,256,2399,95,0.937109375,0.37109375,"[0, 0, 0, 0, 0, 0, 0, 0, 161, 0]"
copying,copying,none,2,4,True,final,standard,49152,256,2387,83,0.932421875,0.32421875,"[0, 0, 0, 0, 0, 0, 0, 0, 173, 0]"
copying,copying,none,2,4,True,final,standard,65536,256,2365,61,0.923828125,0.23828125,"[0, 0, 0, 0, 0, 0, 0, 0, 195, 0]"
copying,copying,none,2,4,True,final,standard,98304,256,2375,73,0.927734375,0.28515625,"[0, 0, 0, 0, 0, 0, 0, 2, 183, 0]"
copying,copying,none,2,4,True,final,standard,131072,256,2378,75,0.92890625,0.29296875,"[0, 0, 0, 0, 0, 0, 0, 1, 181, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,1,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,2,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,3,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,4,256,2557,254,0.998828125,0.9921875,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,5,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,6,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,7,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,8,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,9,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,10,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,11,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,12,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,13,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,14,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,16,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,24,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,32,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,48,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,64,256,2552,248,0.996875,0.96875,"[0, 0, 0, 0, 0, 2, 1, 3, 2, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,96,256,2556,252,0.9984375,0.984375,"[0, 0, 0, 0, 0, 1, 3, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,128,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,192,256,2549,245,0.995703125,0.95703125,"[0, 0, 0, 0, 0, 1, 6, 2, 2, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,256,256,2534,237,0.98984375,0.92578125,"[0, 0, 0, 0, 0, 4, 6, 11, 2, 3]"
selective-copying,selective-copying,none,2,4,True,best,standard,384,256,2552,248,0.996875,0.96875,"[0, 0, 0, 0, 0, 0, 5, 3, 0, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,512,256,2550,247,0.99609375,0.96484375,"[0, 0, 0, 0, 0, 0, 3, 5, 2, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,768,256,2533,232,0.989453125,0.90625,"[0, 0, 0, 0, 0, 1, 13, 12, 1, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,1024,256,2475,190,0.966796875,0.7421875,"[0, 0, 0, 0, 1, 6, 20, 35, 17, 6]"
selective-copying,selective-copying,none,2,4,True,best,standard,1536,256,2503,212,0.977734375,0.828125,"[0, 0, 1, 1, 3, 12, 27, 12, 1, 0]"
selective-copying,selective-copying,none,2,4,True,best,standard,2048,256,2421,158,0.945703125,0.6171875,"[0, 0, 5, 5, 13, 27, 42, 32, 12, 3]"
selective-copying,selective-copying,none,2,4,True,best,standard,3072,256,2238,74,0.87421875,0.2890625,"[0, 0, 8, 19, 28, 55, 97, 58, 46, 11]"
selective-copying,selective-copying,none,2,4,True,best,standard,4096,256,1972,14,0.7703125,0.0546875,"[0, 1, 16, 21, 79, 110, 115, 116, 113, 17]"
selective-copying,selective-copying,none,2,4,True,best,standard,6144,256,1903,13,0.743359375,0.05078125,"[0, 1, 23, 46, 96, 119, 132, 118, 99, 23]"
selective-copying,selective-copying,none,2,4,True,best,standard,8192,256,1728,8,0.675,0.03125,"[0, 4, 23, 67, 112, 133, 145, 160, 141, 47]"
selective-copying,selective-copying,none,2,4,True,best,standard,12288,256,1621,2,0.633203125,0.0078125,"[0, 2, 36, 81, 134, 152, 160, 157, 146, 71]"
selective-copying,selective-copying,none,2,4,True,best,standard,16384,256,1484,0,0.5796875,0.0,"[0, 3, 45, 70, 108, 157, 176, 181, 170, 166]"
selective-copying,selective-copying,none,2,4,True,best,standard,24576,256,1499,2,0.585546875,0.0078125,"[0, 3, 65, 91, 154, 160, 169, 169, 168, 82]"
selective-copying,selective-copying,none,2,4,True,best,standard,32768,256,1372,0,0.5359375,0.0,"[0, 4, 85, 99, 157, 152, 186, 192, 196, 117]"
selective-copying,selective-copying,none,2,4,True,best,standard,49152,256,1337,0,0.522265625,0.0,"[0, 0, 89, 107, 163, 165, 188, 195, 194, 122]"
selective-copying,selective-copying,none,2,4,True,best,standard,65536,256,1172,0,0.4578125,0.0,"[0, 3, 140, 108, 150, 172, 193, 201, 212, 209]"
selective-copying,selective-copying,none,2,4,True,best,standard,98304,256,1266,0,0.49453125,0.0,"[0, 6, 160, 102, 161, 177, 183, 183, 196, 126]"
selective-copying,selective-copying,none,2,4,True,best,standard,131072,256,1190,0,0.46484375,0.0,"[0, 7, 159, 115, 152, 174, 187, 207, 214, 155]"
selective-copying,selective-copying,none,2,4,True,final,standard,1,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,2,256,2553,249,0.997265625,0.97265625,"[0, 0, 0, 0, 0, 0, 1, 2, 3, 1]"
selective-copying,selective-copying,none,2,4,True,final,standard,3,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,4,256,2541,238,0.992578125,0.9296875,"[0, 0, 0, 0, 0, 0, 1, 17, 1, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,5,256,2554,250,0.99765625,0.9765625,"[0, 0, 0, 0, 0, 0, 1, 5, 0, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,6,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,7,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,8,256,2555,251,0.998046875,0.98046875,"[0, 0, 0, 0, 0, 0, 2, 2, 1, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,9,256,2556,252,0.9984375,0.984375,"[0, 0, 0, 0, 0, 0, 1, 3, 0, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,10,256,2556,252,0.9984375,0.984375,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,11,256,2552,248,0.996875,0.96875,"[0, 0, 0, 0, 0, 0, 2, 5, 1, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,12,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,13,256,2553,249,0.997265625,0.97265625,"[0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,14,256,2554,250,0.99765625,0.9765625,"[0, 0, 0, 0, 0, 0, 0, 1, 3, 2]"
selective-copying,selective-copying,none,2,4,True,final,standard,16,256,2490,196,0.97265625,0.765625,"[0, 0, 0, 0, 0, 0, 0, 16, 11, 43]"
selective-copying,selective-copying,none,2,4,True,final,standard,24,256,2553,249,0.997265625,0.97265625,"[0, 0, 0, 0, 0, 0, 0, 5, 2, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,32,256,2522,220,0.98515625,0.859375,"[0, 0, 0, 0, 0, 0, 4, 14, 3, 17]"
selective-copying,selective-copying,none,2,4,True,final,standard,48,256,2491,197,0.973046875,0.76953125,"[0, 0, 0, 0, 0, 0, 5, 53, 10, 1]"
selective-copying,selective-copying,none,2,4,True,final,standard,64,256,2507,210,0.979296875,0.8203125,"[0, 0, 0, 0, 0, 2, 4, 29, 7, 11]"
selective-copying,selective-copying,none,2,4,True,final,standard,96,256,2522,218,0.98515625,0.8515625,"[0, 0, 0, 0, 0, 2, 1, 22, 6, 7]"
selective-copying,selective-copying,none,2,4,True,final,standard,128,256,2508,209,0.9796875,0.81640625,"[0, 0, 0, 0, 1, 2, 4, 32, 10, 3]"
selective-copying,selective-copying,none,2,4,True,final,standard,192,256,2526,225,0.98671875,0.87890625,"[0, 0, 0, 0, 0, 1, 3, 20, 9, 1]"
selective-copying,selective-copying,none,2,4,True,final,standard,256,256,2460,175,0.9609375,0.68359375,"[0, 0, 0, 0, 0, 10, 10, 53, 19, 8]"
selective-copying,selective-copying,none,2,4,True,final,standard,384,256,2509,212,0.980078125,0.828125,"[0, 0, 1, 1, 1, 4, 4, 28, 11, 1]"
selective-copying,selective-copying,none,2,4,True,final,standard,512,256,2481,187,0.969140625,0.73046875,"[0, 0, 0, 1, 1, 6, 8, 50, 11, 2]"
selective-copying,selective-copying,none,2,4,True,final,standard,768,256,2451,176,0.957421875,0.6875,"[0, 0, 1, 0, 1, 10, 15, 62, 20, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,1024,256,2316,85,0.9046875,0.33203125,"[0, 0, 5, 6, 6, 25, 29, 107, 58, 8]"
selective-copying,selective-copying,none,2,4,True,final,standard,1536,256,2352,112,0.91875,0.4375,"[0, 0, 5, 11, 11, 36, 39, 76, 30, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,2048,256,2207,52,0.862109375,0.203125,"[0, 0, 13, 20, 21, 46, 79, 119, 55, 0]"
selective-copying,selective-copying,none,2,4,True,final,standard,3072,256,2039,25,0.796484375,0.09765625,"[0, 0, 15, 32, 34, 70, 130, 138, 92, 10]"
selective-copying,selective-copying,none,2,4,True,final,standard,4096,256,1881,6,0.734765625,0.0234375,"[0, 0, 15, 31, 61, 112, 145, 158, 136, 21]"
selective-copying,selective-copying,none,2,4,True,final,standard,6144,256,1826,6,0.71328125,0.0234375,"[0, 1, 19, 48, 84, 129, 142, 143, 133, 35]"
selective-copying,selective-copying,none,2,4,True,final,standard,8192,256,1718,3,0.67109375,0.01171875,"[0, 1, 26, 51, 91, 127, 146, 169, 166, 65]"
selective-copying,selective-copying,none,2,4,True,final,standard,12288,256,1563,1,0.610546875,0.00390625,"[0, 6, 36, 98, 131, 144, 162, 172, 158, 90]"
selective-copying,selective-copying,none,2,4,True,final,standard,16384,256,1443,0,0.563671875,0.0,"[0, 4, 62, 87, 137, 156, 176, 171, 171, 153]"
selective-copying,selective-copying,none,2,4,True,final,standard,24576,256,1473,0,0.575390625,0.0,"[0, 5, 71, 95, 132, 152, 184, 168, 168, 112]"
selective-copying,selective-copying,none,2,4,True,final,standard,32768,256,1368,0,0.534375,0.0,"[0, 2, 87, 103, 138, 162, 170, 186, 197, 147]"
selective-copying,selective-copying,none,2,4,True,final,standard,49152,256,1296,0,0.50625,0.0,"[0, 3, 90, 127, 159, 159, 179, 178, 208, 161]"
selective-copying,selective-copying,none,2,4,True,final,standard,65536,256,1164,0,0.4546875,0.0,"[2, 7, 136, 120, 171, 173, 179, 191, 203, 214]"
selective-copying,selective-copying,none,2,4,True,final,standard,98304,256,1184,0,0.4625,0.0,"[0, 7, 151, 133, 151, 162, 187, 179, 209, 197]"
selective-copying,selective-copying,none,2,4,True,final,standard,131072,256,1139,0,0.444921875,0.0,"[1, 6, 144, 134, 159, 159, 186, 200, 225, 207]"
