mode,position_mode,checkpoint,evaluation,T,n,token_correct,string_correct,token_acc,string_acc,digit_errors
aligned,aligned,final,standard,4,256,2514,213,0.98203125,0.83203125,"[0, 0, 1, 19, 10, 4, 5, 4, 2, 1]"
aligned,aligned,final,standard,5,256,2493,200,0.973828125,0.78125,"[1, 0, 5, 10, 4, 14, 16, 11, 3, 3]"
aligned,aligned,final,standard,6,256,2453,171,0.958203125,0.66796875,"[0, 0, 5, 12, 12, 27, 34, 11, 3, 3]"
aligned,aligned,final,standard,7,256,2373,123,0.926953125,0.48046875,"[0, 0, 12, 33, 51, 59, 29, 3, 0, 0]"
aligned,aligned,final,standard,8,256,2399,137,0.937109375,0.53515625,"[0, 1, 7, 27, 41, 42, 27, 15, 1, 0]"
aligned,aligned,final,standard,9,256,2427,143,0.948046875,0.55859375,"[0, 2, 3, 15, 43, 48, 16, 6, 0, 0]"
aligned,aligned,final,standard,10,256,2436,161,0.9515625,0.62890625,"[0, 2, 4, 31, 24, 36, 16, 9, 2, 0]"
aligned,aligned,final,standard,11,256,2324,95,0.9078125,0.37109375,"[0, 1, 6, 26, 61, 59, 58, 20, 5, 0]"
aligned,aligned,final,standard,12,256,2373,121,0.926953125,0.47265625,"[0, 1, 7, 22, 43, 59, 33, 15, 7, 0]"
aligned,aligned,final,standard,13,256,2367,128,0.924609375,0.5,"[0, 0, 8, 21, 57, 50, 37, 17, 3, 0]"
aligned,aligned,final,standard,14,256,2387,134,0.932421875,0.5234375,"[0, 1, 1, 25, 39, 54, 33, 18, 2, 0]"
aligned,aligned,final,standard,16,256,2362,108,0.92265625,0.421875,"[0, 1, 4, 22, 50, 56, 48, 12, 3, 2]"
aligned,aligned,final,standard,24,256,2277,77,0.889453125,0.30078125,"[0, 1, 8, 32, 64, 90, 65, 18, 5, 0]"
aligned,aligned,final,standard,32,256,2195,44,0.857421875,0.171875,"[0, 3, 14, 46, 89, 92, 81, 35, 5, 0]"
aligned,aligned,final,standard,48,256,2089,36,0.816015625,0.140625,"[0, 6, 13, 42, 71, 94, 114, 72, 43, 16]"
aligned,aligned,final,standard,64,256,2026,17,0.79140625,0.06640625,"[1, 2, 17, 74, 106, 122, 129, 68, 14, 1]"
aligned,aligned,final,standard,96,256,2043,21,0.798046875,0.08203125,"[0, 2, 18, 74, 114, 118, 120, 63, 8, 0]"
aligned,aligned,final,standard,128,256,1917,11,0.748828125,0.04296875,"[0, 13, 35, 79, 133, 145, 121, 85, 28, 4]"
aligned,aligned,final,standard,192,256,1901,8,0.742578125,0.03125,"[0, 12, 43, 85, 130, 130, 135, 92, 29, 3]"
aligned,aligned,final,standard,256,256,1716,1,0.6703125,0.00390625,"[1, 27, 57, 110, 150, 152, 147, 150, 41, 9]"
aligned,aligned,final,standard,384,256,1773,5,0.692578125,0.01953125,"[0, 26, 66, 115, 141, 153, 160, 96, 24, 6]"
aligned,aligned,final,standard,512,256,1658,2,0.64765625,0.0078125,"[2, 21, 59, 134, 165, 168, 161, 137, 48, 7]"
aligned,aligned,final,standard,768,256,1627,0,0.635546875,0.0,"[3, 36, 87, 138, 152, 172, 170, 131, 43, 1]"
aligned,aligned,final,standard,1024,256,1399,0,0.546484375,0.0,"[6, 57, 106, 176, 169, 164, 170, 158, 112, 43]"
aligned,aligned,final,standard,1536,256,1488,1,0.58125,0.00390625,"[1, 58, 116, 134, 174, 174, 177, 147, 70, 21]"
aligned,aligned,final,standard,2048,256,1147,0,0.448046875,0.0,"[12, 86, 143, 155, 198, 198, 174, 161, 178, 108]"
aligned,aligned,final,standard,3072,256,665,0,0.259765625,0.0,"[212, 213, 219, 194, 172, 183, 184, 173, 188, 157]"
aligned,aligned,final,standard,4096,256,514,0,0.20078125,0.0,"[220, 201, 220, 209, 192, 205, 200, 217, 205, 177]"
aligned,aligned,final,standard,6144,256,539,0,0.210546875,0.0,"[223, 210, 221, 217, 208, 201, 201, 194, 178, 168]"
aligned,aligned,final,standard,8192,256,458,0,0.17890625,0.0,"[211, 215, 225, 231, 215, 207, 206, 213, 201, 178]"
