mode,task,position_mode,num_layers,conv_kernel_size,checkpoint,evaluation,T,n,token_correct,string_correct,token_acc,string_acc,digit_errors
copying,copying,none,2,4,final,standard,96,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,128,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,192,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,256,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,384,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,512,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,768,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,1024,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,1536,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,2048,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,3072,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,4096,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,6144,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,8192,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,12288,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,16384,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,24576,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,32768,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,49152,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,65536,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,98304,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
copying,copying,none,2,4,final,standard,131072,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,1,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,2,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,3,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,4,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,5,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,6,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,7,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,8,256,2553,249,0.997265625,0.97265625,"[0, 0, 0, 0, 0, 3, 3, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,9,256,2550,246,0.99609375,0.9609375,"[0, 0, 0, 0, 2, 1, 3, 3, 1, 0]"
selective-copying,selective-copying,none,2,4,best,standard,10,256,2556,253,0.9984375,0.98828125,"[0, 0, 0, 0, 2, 1, 1, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,11,256,2552,249,0.996875,0.97265625,"[0, 0, 0, 0, 1, 1, 5, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,12,256,2550,249,0.99609375,0.97265625,"[0, 0, 1, 0, 3, 2, 2, 0, 1, 1]"
selective-copying,selective-copying,none,2,4,best,standard,13,256,2556,252,0.9984375,0.984375,"[0, 0, 0, 0, 0, 3, 0, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,14,256,2552,248,0.996875,0.96875,"[0, 0, 0, 0, 1, 3, 3, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,best,standard,16,256,2536,235,0.990625,0.91796875,"[0, 0, 0, 1, 1, 12, 7, 2, 1, 0]"
selective-copying,selective-copying,none,2,4,best,standard,24,256,2524,229,0.9859375,0.89453125,"[0, 0, 0, 4, 2, 14, 9, 5, 2, 0]"
selective-copying,selective-copying,none,2,4,best,standard,32,256,2469,186,0.964453125,0.7265625,"[0, 0, 1, 2, 6, 38, 26, 13, 4, 1]"
selective-copying,selective-copying,none,2,4,best,standard,48,256,2374,136,0.92734375,0.53125,"[0, 0, 1, 5, 15, 56, 63, 37, 8, 1]"
selective-copying,selective-copying,none,2,4,best,standard,64,256,2314,94,0.90390625,0.3671875,"[0, 0, 1, 8, 29, 92, 65, 43, 7, 1]"
selective-copying,selective-copying,none,2,4,best,standard,96,256,2345,118,0.916015625,0.4609375,"[0, 0, 5, 16, 29, 74, 54, 31, 5, 1]"
selective-copying,selective-copying,none,2,4,best,standard,128,256,2284,84,0.8921875,0.328125,"[0, 0, 2, 11, 27, 89, 79, 52, 16, 0]"
selective-copying,selective-copying,none,2,4,best,standard,192,256,2209,65,0.862890625,0.25390625,"[0, 0, 5, 18, 23, 110, 105, 59, 24, 7]"
selective-copying,selective-copying,none,2,4,best,standard,256,256,2080,29,0.8125,0.11328125,"[0, 0, 5, 23, 50, 123, 130, 89, 52, 8]"
selective-copying,selective-copying,none,2,4,best,standard,384,256,2194,50,0.85703125,0.1953125,"[0, 0, 5, 31, 56, 99, 99, 56, 16, 4]"
selective-copying,selective-copying,none,2,4,best,standard,512,256,2115,27,0.826171875,0.10546875,"[0, 0, 9, 22, 52, 129, 128, 74, 29, 2]"
selective-copying,selective-copying,none,2,4,best,standard,768,256,2072,33,0.809375,0.12890625,"[0, 0, 2, 26, 55, 120, 125, 104, 40, 16]"
selective-copying,selective-copying,none,2,4,best,standard,1024,256,1975,10,0.771484375,0.0390625,"[0, 0, 8, 30, 76, 110, 129, 131, 77, 24]"
selective-copying,selective-copying,none,2,4,best,standard,1536,256,2070,37,0.80859375,0.14453125,"[0, 1, 9, 35, 79, 124, 118, 80, 33, 11]"
selective-copying,selective-copying,none,2,4,best,standard,2048,256,1984,14,0.775,0.0546875,"[0, 0, 18, 33, 76, 148, 131, 104, 53, 13]"
selective-copying,selective-copying,none,2,4,best,standard,3072,256,1917,10,0.748828125,0.0390625,"[0, 4, 14, 36, 92, 143, 142, 115, 61, 36]"
selective-copying,selective-copying,none,2,4,best,standard,4096,256,1837,4,0.717578125,0.015625,"[0, 9, 23, 33, 91, 144, 141, 143, 107, 32]"
selective-copying,selective-copying,none,2,4,best,standard,6144,256,1907,11,0.744921875,0.04296875,"[0, 5, 27, 61, 86, 122, 135, 121, 65, 31]"
selective-copying,selective-copying,none,2,4,best,standard,8192,256,1751,3,0.683984375,0.01171875,"[0, 5, 39, 68, 107, 170, 142, 149, 93, 36]"
selective-copying,selective-copying,none,2,4,best,standard,12288,256,1556,0,0.6078125,0.0,"[3, 23, 47, 102, 135, 182, 187, 163, 103, 59]"
selective-copying,selective-copying,none,2,4,best,standard,16384,256,1479,0,0.577734375,0.0,"[8, 45, 76, 99, 149, 180, 174, 171, 127, 52]"
selective-copying,selective-copying,none,2,4,best,standard,24576,256,1510,2,0.58984375,0.0078125,"[37, 58, 98, 116, 144, 160, 165, 137, 88, 47]"
selective-copying,selective-copying,none,2,4,best,standard,32768,256,1320,1,0.515625,0.00390625,"[41, 58, 97, 123, 165, 194, 204, 169, 130, 59]"
selective-copying,selective-copying,none,2,4,best,standard,49152,256,1261,1,0.492578125,0.00390625,"[51, 62, 111, 142, 174, 196, 195, 177, 119, 72]"
selective-copying,selective-copying,none,2,4,best,standard,65536,256,1055,0,0.412109375,0.0,"[63, 102, 136, 150, 177, 196, 206, 186, 165, 124]"
selective-copying,selective-copying,none,2,4,best,standard,98304,256,1140,0,0.4453125,0.0,"[79, 101, 128, 166, 195, 190, 192, 173, 137, 59]"
selective-copying,selective-copying,none,2,4,best,standard,131072,256,1051,0,0.410546875,0.0,"[93, 93, 132, 169, 194, 193, 198, 201, 159, 77]"
selective-copying,selective-copying,none,2,4,final,standard,1,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,2,256,2560,256,1.0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,3,256,2559,255,0.999609375,0.99609375,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,4,256,2556,253,0.9984375,0.98828125,"[0, 0, 0, 0, 0, 1, 1, 2, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,5,256,2552,250,0.996875,0.9765625,"[0, 0, 0, 0, 0, 0, 4, 4, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,6,256,2554,251,0.99765625,0.98046875,"[0, 0, 0, 0, 0, 2, 1, 3, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,7,256,2557,253,0.998828125,0.98828125,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 1]"
selective-copying,selective-copying,none,2,4,final,standard,8,256,2534,231,0.98984375,0.90234375,"[0, 0, 0, 0, 0, 4, 21, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,9,256,2556,253,0.9984375,0.98828125,"[0, 0, 0, 0, 0, 1, 2, 0, 1, 0]"
selective-copying,selective-copying,none,2,4,final,standard,10,256,2558,254,0.99921875,0.9921875,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,11,256,2555,251,0.998046875,0.98046875,"[0, 0, 0, 0, 0, 1, 3, 1, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,12,256,2548,245,0.9953125,0.95703125,"[0, 0, 0, 3, 1, 1, 6, 0, 1, 0]"
selective-copying,selective-copying,none,2,4,final,standard,13,256,2552,248,0.996875,0.96875,"[0, 0, 0, 0, 1, 5, 0, 2, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,14,256,2549,246,0.995703125,0.9609375,"[0, 0, 0, 2, 2, 3, 2, 2, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,16,256,2542,239,0.99296875,0.93359375,"[0, 0, 0, 0, 1, 10, 2, 4, 1, 0]"
selective-copying,selective-copying,none,2,4,final,standard,24,256,2494,198,0.97421875,0.7734375,"[0, 0, 0, 4, 2, 21, 33, 6, 0, 0]"
selective-copying,selective-copying,none,2,4,final,standard,32,256,2495,203,0.974609375,0.79296875,"[0, 0, 0, 1, 4, 28, 18, 11, 2, 1]"
selective-copying,selective-copying,none,2,4,final,standard,48,256,2374,137,0.92734375,0.53515625,"[0, 0, 2, 8, 17, 59, 53, 38, 9, 0]"
selective-copying,selective-copying,none,2,4,final,standard,64,256,2325,112,0.908203125,0.4375,"[0, 0, 2, 10, 34, 81, 58, 43, 7, 0]"
selective-copying,selective-copying,none,2,4,final,standard,96,256,2337,116,0.912890625,0.453125,"[0, 1, 5, 19, 31, 84, 56, 23, 4, 0]"
selective-copying,selective-copying,none,2,4,final,standard,128,256,2293,95,0.895703125,0.37109375,"[0, 0, 4, 10, 28, 92, 81, 41, 11, 0]"
