mode,precision,layer,depth,quantity,head,signal_norm,signal_norm_ratio_d2,signal_cosine_previous,defined_cosine_samples,memory_first_child_weight
phase2,bf16,1,8,v,4,1.270605004373277,0.28815325998572683,0.9776549820365752,16,0.37531518936157227
phase2,bf16,1,8,v,5,27.965464184855534,1.0002701805139522,0.9999906164274455,16,1.0
phase2,bf16,1,8,v,6,31.2377465388916,0.9987182505927146,0.9999999916918635,16,1.0
phase2,bf16,1,8,v,7,1.0921321247493279,0.07099486393559011,0.8749895730729842,16,0.19949549436569214
phase2,fp32,0,2,k,0,1.4082372162873047,1.0,1.0,16,0.00828455202281475
phase2,fp32,0,2,k,1,0.9723996217683486,1.0,1.0,16,8.861382229952142e-05
phase2,fp32,0,2,k,2,10.044852005728039,1.0,1.0,16,0.036512259393930435
phase2,fp32,0,2,k,3,0.0003896942539004087,1.0,1.0,16,6.602890977036591e-13
phase2,fp32,0,2,k,4,13.711198438785512,1.0,1.0,16,0.0013369584921747446
phase2,fp32,0,2,k,5,7.753598429196393,1.0,1.0000000000000002,16,6.08987272465308e-19
phase2,fp32,0,2,k,6,11.83785993920596,1.0,1.0,16,0.20148470997810364
phase2,fp32,0,2,k,7,4.2710403715125205,1.0,1.0,16,0.02544541098177433
phase2,fp32,0,2,v,0,1.6614057473858836,1.0,1.0,16,0.00828455202281475
phase2,fp32,0,2,v,1,2.405597847827398,1.0,1.0,16,8.861382229952142e-05
phase2,fp32,0,2,v,2,22.81251214453591,1.0,1.0,16,0.036512259393930435
phase2,fp32,0,2,v,3,0.0006495222049956595,1.0,1.0,16,6.602890977036591e-13
phase2,fp32,0,2,v,4,26.45952254691405,1.0,1.0,16,0.0013369584921747446
phase2,fp32,0,2,v,5,13.828098485024107,1.0,0.9999999999999999,16,6.08987272465308e-19
phase2,fp32,0,2,v,6,11.851147934706919,1.0,1.0,16,0.20148470997810364
phase2,fp32,0,2,v,7,6.1109484969896375,1.0,1.0,16,0.02544541098177433
phase2,fp32,1,2,k,0,14.7606481051152,1.0,1.0,16,0.061078593134880066
phase2,fp32,1,2,k,1,23.599879794760277,1.0,1.0,16,3.435438250268593e-22
phase2,fp32,1,2,k,2,35.556303551094544,1.0,1.0,16,1.0
phase2,fp32,1,2,k,3,25.159726952262165,1.0,1.0,16,4.01087955993915e-20
phase2,fp32,1,2,k,4,7.877116704096117,1.0,1.0,16,0.0
phase2,fp32,1,2,k,5,37.191666142607566,1.0,1.0,16,1.0
phase2,fp32,1,2,k,6,23.42214477947222,1.0,1.0,16,3.033381166157057e-20
phase2,fp32,1,2,k,7,7.219775951083854,1.0,1.0,16,2.102048293340428e-28
phase2,fp32,1,2,v,0,18.147300728177086,1.0,1.0,16,0.061078593134880066
phase2,fp32,1,2,v,1,30.680786398951668,1.0,1.0,16,3.435438250268593e-22
phase2,fp32,1,2,v,2,34.62014209483097,1.0,1.0,16,1.0
phase2,fp32,1,2,v,3,28.46880525904488,1.0,1.0,16,4.01087955993915e-20
