mode,precision,layer,depth,head,query_cosine_d5,memory_raw_logit,memory_effective_logit,memory_vs_max_other,memory_attention_weight,fixed_d5_query_content_logit,fixed_d5_query_memory_minus_blank_logit
combined-no-decay,bf16,0,4,1,1.0000000000000002,-9.13671875,-10.509765625,-36.685096740722656,5.907871847982138e-14,-9.137124033266446,-3.3539019092859235
combined-no-decay,bf16,0,4,2,1.0000000000000002,0.2890625,0.0728759765625,-0.2567991316318512,0.32393690943717957,0.2895672037266195,-0.05106915393844247
combined-no-decay,bf16,0,4,3,1.0,-9.138671875,-8.431640625,-10.600390434265137,0.0022466673981398344,-9.158567786216736,1.4924567937850952
combined-no-decay,bf16,0,4,4,1.0000000000000002,-1.296875,0.042724609375,-5.419775485992432,0.2999948561191559,-1.2961117774248123,0.25811605155467987
combined-no-decay,bf16,0,4,5,1.0000000000000002,-9.41796875,-9.1015625,-11.881250381469727,5.076974957773928e-06,-9.414643675088882,-0.1802772581577301
combined-no-decay,bf16,0,4,6,1.0000000000000002,2.003173828125,2.00244140625,1.83056640625,0.5639306902885437,2.0006873067468405,2.772818958386779
combined-no-decay,bf16,0,4,7,0.9999999999999998,-0.97119140625,0.40203857421875,-8.485461235046387,0.30000001192092896,-0.9714185629272833,-0.1283589337253943
combined-no-decay,bf16,1,4,0,0.9994644912219204,2.995079278945923,1.772851586341858,-1.0173828601837158,0.40000954270362854,3.0177387431846,9.099913795723115
combined-no-decay,bf16,1,4,1,0.9994990078396621,3.631024122238159,3.915008544921875,-28.031509399414062,0.30000001192092896,3.726270076565561,9.580299366198597
combined-no-decay,bf16,1,4,2,0.9996606957265165,4.2274169921875,4.570214748382568,2.238349437713623,0.49993833899497986,4.275617778829473,9.30514173150732
combined-no-decay,bf16,1,4,3,0.9997218424207388,-23.668651580810547,-21.207275390625,-157.004150390625,0.0,-24.032238601520657,-11.945330149680377
combined-no-decay,bf16,1,4,4,0.9992490140786291,10.70654296875,10.306787490844727,29.029125213623047,1.0,10.903316268138587,16.199124799948187
combined-no-decay,bf16,1,4,5,0.9994238570525571,-5.509409427642822,-3.683978319168091,-99.99195861816406,0.20000000298023224,-5.5222674475575335,-1.8037815298477653
combined-no-decay,bf16,1,4,6,0.9993653155998345,15.463598251342773,13.96990966796875,10.863374710083008,0.5333575010299683,15.680904928960809,39.21528599312296
combined-no-decay,bf16,1,4,7,0.9995155658576689,-2.091372013092041,-1.754768967628479,-49.55902099609375,0.04504726082086563,-2.116663235564192,-0.9628067739118705
combined-no-decay,bf16,0,5,0,1.0,-0.058040618896484375,0.3515625,-4.626274108886719,0.007024729158729315,-0.05800578719936311,-0.04018861032091081
combined-no-decay,bf16,0,5,1,1.0000000000000002,-5.99609375,-7.373046875,-33.548377990722656,2.9098257007045825e-13,-5.9938678706676,-1.9425845716759795
combined-no-decay,bf16,0,5,2,1.0000000000000002,0.366455078125,0.14910888671875,-0.1805662214756012,0.3363775610923767,0.36646901071071625,0.006849631667137146
combined-no-decay,bf16,0,5,3,1.0,-9.03125,-8.3359375,-10.504687309265137,0.00038044285611249506,-9.055240526795387,-0.2627093940973282
combined-no-decay,bf16,0,5,4,1.0000000000000002,-1.3046875,0.034423828125,-5.428076267242432,0.2999947667121887,-1.3055278360843658,0.03545711934566498
combined-no-decay,bf16,0,5,5,1.0000000000000002,-8.96875,-8.6484375,-11.428125381469727,7.59758404456079e-06,-8.972878858447075,-0.06972257792949677
combined-no-decay,bf16,0,5,6,1.0000000000000002,-0.3408203125,-0.3416748046875,-0.5135498046875,0.24505701661109924,-0.3410792611539364,0.046869728714227676
combined-no-decay,bf16,0,5,7,0.9999999999999998,-0.50390625,0.8701171875,-8.017382621765137,0.30000001192092896,-0.504208130761981,0.04295779950916767
combined-no-decay,bf16,1,5,0,1.0,3.170854091644287,1.94287109375,-1.383691430091858,0.40000754594802856,3.172543322003912,9.156724908656907
combined-no-decay,bf16,1,5,1,1.0,2.8594982624053955,3.1518425941467285,-29.566608428955078,0.30000001192092896,2.861345144675579,8.498991595895495
combined-no-decay,bf16,1,5,2,1.0,4.376855373382568,4.729931831359863,2.3571879863739014,0.4999111294746399,4.377502567166812,8.908806793330587
combined-no-decay,bf16,1,5,3,1.0,-17.697265625,-15.2060546875,-153.66854858398438,0.0,-17.697063326789067,-7.419701905502007
combined-no-decay,bf16,1,5,4,1.0,8.052286148071289,7.652478218078613,26.473276138305664,0.9999994039535522,8.052568096213509,12.911576283921022
combined-no-decay,bf16,1,5,5,1.0,-2.7238831520080566,-0.834075927734375,-99.99224853515625,0.20000000298023224,-2.724574784305878,0.5670955796493218
combined-no-decay,bf16,1,5,6,1.0,11.616559028625488,10.107528686523438,7.217970371246338,0.500105619430542,11.615831767051713,37.783002616494194
