mode,precision,layer,depth,quantity,raw_norm,signal_norm,signal_norm_ratio_d2,signal_cosine_d2,signal_cosine_previous,transform_cosine_pre_post
phase2,fp32,1,3,k,101.49537059093561,66.56337342619094,0.9567214728226486,0.959713413308868,0.959713413308868,1.0
phase2,fp32,1,3,v,83.72151615937037,68.78554543441311,0.9343591057529144,0.934067814507776,0.934067814507776,1.0
phase2,fp32,0,4,k,46.38951376642593,19.908577289288615,0.8480819254657364,0.8779961309402216,0.9931380962263698,1.0
phase2,fp32,0,4,v,62.05673819033946,34.967254256467406,0.8444471795690977,0.8701250543978787,0.9921314272058951,1.0
phase2,fp32,1,4,k,101.56087755980965,66.61901925637905,0.957526647023959,0.9594658481933286,0.9999546574498883,1.0
phase2,fp32,1,4,v,83.74688447581589,68.7699531027387,0.9341481734839718,0.9332662449304165,0.9999293441436827,1.0
phase2,fp32,0,5,k,46.411951577165155,19.717346810337933,0.8393229374816555,0.8614390151458475,0.9974023572653279,1.0
phase2,fp32,0,5,v,61.99974374674291,34.693907707434526,0.8378357314780462,0.8553924910882185,0.9981611139370892,1.0
phase2,fp32,1,5,k,101.57017526493988,66.64181891408342,0.9578569310425953,0.9592836698495322,0.9999839140615343,1.0
phase2,fp32,1,5,v,83.73504108783301,68.76377911413863,0.9340652261809765,0.9326661340954858,0.9999633867731483,1.0
phase2,fp32,0,6,k,46.41571087774843,19.59508165378393,0.8336700635735829,0.8512296158493874,0.9985108850281587,1.0
phase2,fp32,0,6,v,61.98589462644397,34.51431899413835,0.8335348873869142,0.8469427143687231,0.9988284974295685,1.0
phase2,fp32,1,6,k,101.55358023324774,66.65297052354998,0.9580190352902467,0.959174243999973,0.9999893721820774,1.0
phase2,fp32,1,6,v,83.70851568103942,68.75959303317953,0.9340087440478906,0.9322807422233936,0.9999791385131498,1.0
phase2,fp32,0,7,k,46.4185585684573,19.51894600098815,0.8301600842435555,0.8428524234614839,0.9986119822762759,1.0
phase2,fp32,0,7,v,61.99698931700574,34.412473310555654,0.8311014019216054,0.8403878276232964,0.9991043950186612,1.0
phase2,fp32,1,7,k,101.55295480170635,66.68671520666803,0.9585107991421395,0.9590775699329177,0.9999849484491247,1.0
phase2,fp32,1,7,v,83.70074342307991,68.75304060855635,0.9339200094201838,0.9319848721065441,0.9999680156551887,1.0
phase2,fp32,0,8,k,46.42353176848877,19.480616144188453,0.8284203241670502,0.8364565818601318,0.9991873896713663,1.0
phase2,fp32,0,8,v,62.008578214986045,34.36168413683626,0.8298925247351157,0.8362157302741564,0.9996401520454604,1.0
phase2,fp32,1,8,k,101.59338758163906,66.74414447532922,0.9593455324599348,0.958930405081303,0.9999809641534994,1.0
phase2,fp32,1,8,v,83.723097467055,68.74997964182454,0.9338783752511043,0.931668415726726,0.9999780158685876,1.0
combined-no-decay,bf16,0,2,k,64.17446816019927,60.1333334763849,1.0,1.0,1.0,-0.007744137451062982
combined-no-decay,bf16,0,2,v,64.29888898537575,54.974673753749926,1.0,1.0,1.0,0.04564035397999721
combined-no-decay,bf16,1,2,k,46.82002622053383,58.30729863301486,1.0,1.0,1.0,0.4631192519778729
combined-no-decay,bf16,1,2,v,56.6438656921846,55.77067315223643,1.0,1.0,1.0,0.22748918047419145
combined-no-decay,bf16,0,3,k,39.97804989719316,34.13456944330163,0.5479455166827685,0.10292745853700537,0.10292745853700537,0.14367678785488144
combined-no-decay,bf16,0,3,v,44.68645806414801,29.98312219334331,0.5309826710436316,0.08509288274793488,0.08509288274793488,0.1147993812805295
combined-no-decay,bf16,1,3,k,42.69574482404127,52.74439280153133,0.9045283951454375,0.547754530676845,0.547754530676845,0.5799969048619072
combined-no-decay,bf16,1,3,v,54.50861198804462,53.62482604021004,0.9615748640364017,0.4840524589715325,0.4840524589715325,0.49949139046659385
combined-no-decay,bf16,0,4,k,32.818655624918065,26.77137354120681,0.4186631882242924,0.049086716256117234,0.16923475440164532,0.16741193003317115
combined-no-decay,bf16,0,4,v,39.63765792445008,23.180004086807973,0.40257891083694575,0.09401967222952645,0.08859208611806073,0.09931202394630134
combined-no-decay,bf16,1,4,k,41.777533266126774,50.46440417184656,0.8652430085405312,0.44975010454155034,0.5360142823543949,0.549390043308227
combined-no-decay,bf16,1,4,v,53.852254583924925,53.017245555021695,0.9506873603951811,0.4280131842378023,0.5049938636123963,0.5116729353682059
combined-no-decay,bf16,0,5,k,19.790808494318227,8.709494522983228,0.14274762867862803,0.07304200768493146,0.11980939205431221,0.17930777284274263
combined-no-decay,bf16,0,5,v,31.521670903565667,7.9401156925774,0.14300794548501,-0.01820176942317601,0.0448781676003522,-0.0065709207418887155
combined-no-decay,bf16,1,5,k,40.50398774364809,47.27636717117636,0.8102160241474916,0.47533558777066637,0.5401731033042328,0.5592554278046625
