precision,layer,head,depth,identity_distance_fro_normalized,orthogonality_max_abs,first_child_cosine_before_after_U0
bf16,1,6,2,1.3837173289899105,6.661338147750939e-16,0.010072384149662298
bf16,1,6,3,1.3837173289899105,6.661338147750939e-16,0.6592774249799522
bf16,1,6,4,1.3837173289899105,6.661338147750939e-16,0.6593130332299841
bf16,1,6,5,1.3837173289899105,6.661338147750939e-16,0.6593154832649272
bf16,1,6,6,1.3837173289899105,6.661338147750939e-16,0.6592643949091999
bf16,1,6,7,1.3837173289899105,6.661338147750939e-16,0.6592721571802052
bf16,1,6,8,1.3837173289899105,6.661338147750939e-16,0.5413496438919048
bf16,1,7,2,1.4081950467993773,6.661338147750939e-16,0.0905962164197768
bf16,1,7,3,1.4081950467993773,6.661338147750939e-16,0.12233095432549002
bf16,1,7,4,1.4081950467993773,6.661338147750939e-16,0.05799839534264786
bf16,1,7,5,1.4081950467993773,6.661338147750939e-16,0.08945908196530755
bf16,1,7,6,1.4081950467993773,6.661338147750939e-16,0.021196028624284362
bf16,1,7,7,1.4081950467993773,6.661338147750939e-16,0.10793484484191192
bf16,1,7,8,1.4081950467993773,6.661338147750939e-16,0.15324223025867922
fp32,0,0,2,1.3943179235871657,4.440892098500626e-16,0.1664020567359729
fp32,0,0,3,1.3943179235871657,4.440892098500626e-16,0.5434586077863388
fp32,0,0,4,1.3943179235871657,4.440892098500626e-16,0.8355524428290662
fp32,0,0,5,1.3943179235871657,4.440892098500626e-16,0.9006689207834471
fp32,0,0,6,1.3943179235871657,4.440892098500626e-16,0.9256610903982755
fp32,0,0,7,1.3943179235871657,4.440892098500626e-16,0.9375842692919458
fp32,0,0,8,1.3943179235871657,4.440892098500626e-16,0.9413670226647972
fp32,0,1,2,1.4040669227743245,4.440892098500626e-16,0.12651899196018387
fp32,0,1,3,1.4040669227743245,4.440892098500626e-16,0.09816859670611733
fp32,0,1,4,1.4040669227743245,4.440892098500626e-16,0.23967684242599893
fp32,0,1,5,1.4040669227743245,4.440892098500626e-16,0.4720179178061024
fp32,0,1,6,1.4040669227743245,4.440892098500626e-16,0.6266455928338184
fp32,0,1,7,1.4040669227743245,4.440892098500626e-16,0.73187005853695
fp32,0,1,8,1.4040669227743245,4.440892098500626e-16,0.8081416452675252
fp32,0,2,2,1.4146114094055833,6.661338147750939e-16,-0.07656407586372665
fp32,0,2,3,1.4146114094055833,6.661338147750939e-16,-0.12866287873521118
fp32,0,2,4,1.4146114094055833,6.661338147750939e-16,-0.11469914560843936
fp32,0,2,5,1.4146114094055833,6.661338147750939e-16,0.027909648808637798
fp32,0,2,6,1.4146114094055833,6.661338147750939e-16,-0.10553067833109613
fp32,0,2,7,1.4146114094055833,6.661338147750939e-16,-0.06455370020296428
fp32,0,2,8,1.4146114094055833,6.661338147750939e-16,0.02976279770707365
fp32,0,3,2,1.4114884799714893,6.661338147750939e-16,-0.04606804292942492
fp32,0,3,3,1.4114884799714893,6.661338147750939e-16,0.23450426011323142
fp32,0,3,4,1.4114884799714893,6.661338147750939e-16,0.4914117277686865
fp32,0,3,5,1.4114884799714893,6.661338147750939e-16,0.5202928959280407
fp32,0,3,6,1.4114884799714893,6.661338147750939e-16,0.7648485298524875
fp32,0,3,7,1.4114884799714893,6.661338147750939e-16,0.8368067362819731
fp32,0,3,8,1.4114884799714893,6.661338147750939e-16,0.9149229918596508
fp32,0,4,2,1.409866567295944,4.440892098500626e-16,0.0013159331529973093
fp32,0,4,3,1.409866567295944,4.440892098500626e-16,0.37026088830858694
fp32,0,4,4,1.409866567295944,4.440892098500626e-16,0.8707847381104181
fp32,0,4,5,1.409866567295944,4.440892098500626e-16,0.9425965027091268
fp32,0,4,6,1.409866567295944,4.440892098500626e-16,0.9789226427565765
fp32,0,4,7,1.409866567295944,4.440892098500626e-16,0.9703785922142893
fp32,0,4,8,1.409866567295944,4.440892098500626e-16,0.9768774849481044
fp32,0,5,2,1.4113755665188745,6.661338147750939e-16,0.030285401262509365
fp32,0,5,3,1.4113755665188745,6.661338147750939e-16,0.07310561657881415
fp32,0,5,4,1.4113755665188745,6.661338147750939e-16,0.32721683687790526
fp32,0,5,5,1.4113755665188745,6.661338147750939e-16,0.6093296630700036
fp32,0,5,6,1.4113755665188745,6.661338147750939e-16,0.8780661893008415
fp32,0,5,7,1.4113755665188745,6.661338147750939e-16,0.9461978127748104
fp32,0,5,8,1.4113755665188745,6.661338147750939e-16,0.9806736247500971
fp32,0,6,2,1.3820088205805003,6.661338147750939e-16,0.030470960358482374
fp32,0,6,3,1.3820088205805003,6.661338147750939e-16,0.34080221271991695
fp32,0,6,4,1.3820088205805003,6.661338147750939e-16,0.45548741951269683
fp32,0,6,5,1.3820088205805003,6.661338147750939e-16,0.5333887575195679
fp32,0,6,6,1.3820088205805003,6.661338147750939e-16,0.8345362811561795
fp32,0,6,7,1.3820088205805003,6.661338147750939e-16,0.8765681874799899
fp32,0,6,8,1.3820088205805003,6.661338147750939e-16,0.8768093673212072
fp32,0,7,2,1.4078761184021242,6.661338147750939e-16,0.285133475808185
fp32,0,7,3,1.4078761184021242,6.661338147750939e-16,0.3239430043979842
fp32,0,7,4,1.4078761184021242,6.661338147750939e-16,0.7578391980172058
fp32,0,7,5,1.4078761184021242,6.661338147750939e-16,0.9376157971240577
fp32,0,7,6,1.4078761184021242,6.661338147750939e-16,0.9465933275395253
fp32,0,7,7,1.4078761184021242,6.661338147750939e-16,0.9381897333394242
fp32,0,7,8,1.4078761184021242,6.661338147750939e-16,0.9419445155743614
fp32,1,0,2,1.391008432489573,6.661338147750939e-16,0.5031268080674899
fp32,1,0,3,1.391008432489573,6.661338147750939e-16,0.5031585987228726
fp32,1,0,4,1.391008432489573,6.661338147750939e-16,0.5031585946035828
fp32,1,0,5,1.391008432489573,6.661338147750939e-16,0.5031632933200023
fp32,1,0,6,1.391008432489573,6.661338147750939e-16,0.5031600827357605
fp32,1,0,7,1.391008432489573,6.661338147750939e-16,0.503162043611705
fp32,1,0,8,1.391008432489573,6.661338147750939e-16,0.5031683193993838
fp32,1,1,2,1.4028419143550555,6.661338147750939e-16,0.38884283802697317
fp32,1,1,3,1.4028419143550555,6.661338147750939e-16,0.38874076182805495
fp32,1,1,4,1.4028419143550555,6.661338147750939e-16,0.38874076371525557
fp32,1,1,5,1.4028419143550555,6.661338147750939e-16,0.3887407609651301
fp32,1,1,6,1.4028419143550555,6.661338147750939e-16,0.38874075974139377
fp32,1,1,7,1.4028419143550555,6.661338147750939e-16,0.3887407569336848
fp32,1,1,8,1.4028419143550555,6.661338147750939e-16,0.38874076100601
fp32,1,2,2,1.410571229213448,5.551115123125783e-16,-0.029555967716111787
fp32,1,2,3,1.410571229213448,5.551115123125783e-16,0.3262940151527916
fp32,1,2,4,1.410571229213448,5.551115123125783e-16,0.32629420765295936
